Target,TIC,Author,Sector,Temperature,Plx,Gmag,BP-RP,Type,Spectral Type,2MASS,TESS Mag,Blend,ra,dec
HD 39014,149542947,Cody et al.,,,,,,*,A5-A6,J05444639-6544079,4.14,N,86.19329166666667,-65.73552777777778
HD 319896,163268072,Cody et al.,,,,,,Or*,B4-B5,J17310584-3508292,10.14,N,262.7743333333333,-35.141444444444446
PDS 69,166896955,Cody et al.,,,,,,**,B4-B5,J13574395-3958471,10.0,Y,209.43312499999996,-39.97975
PDS 241,168627773,Cody et al.,,,,,,Or*,B1,J07083879-0419048,11.48,Y,107.16162499999999,-4.318
VOS 703,178486401,Cody et al.,,,,,,Y*O,F1-F6,J07143123-1129271,12.26,N,108.63012499999999,-11.49086111111111
V388 Vel,181142391,Cody et al.,,,,,,Ae*,B9,J08421727-4044096,14.33,Y,130.57195833333333,-40.736000000000004
PDS 277,183658281,Cody et al.,,,,,,TT*,F3-F5,J08231185-3907015,9.57,N,125.79937499999997,-39.11708333333333
VOS 1331,189283710,Cody et al.,,,,,,Y*O,B0.5,J20384588+4207047,12.51,N,309.6911666666666,42.11797222222222
VOS 111,189286260,Cody et al.,,,,,,LP*,A0,J20391272+4220546,13.29,N,309.80299999999994,42.3485
VOS 4,190255749,Cody et al.,,,,,,Y*O,A0,J08511143-4138500,12.31,N,132.79762499999998,-41.64722222222222
HD 35929,199757113,Cody et al.,,,,,,Ae*,A9-F0,J05274279-0819386,7.68,N,81.92829166666665,-8.327388888888889
V351 Ori,199967382,Cody et al.,,,,,,Ae*,A7-A9,J05441880+0008403,8.63,N,86.07833333333332,0.14452777777777778
HD 244314,200511734,Cody et al.,,,,,,Or*,A2-A3,J05301903+1120199,9.87,N,82.57929166666666,11.338861111111111
HD 244604,200517741,Cody et al.,,,,,,Or*,A2-A3,J05315724+1117414,9.23,N,82.98849999999999,11.294833333333333
VY Mon,207044437,Cody et al.,,,,,,Ae*,B6-B7,J06310692+1026049,12.74,N,97.77883333333332,10.434694444444444
PDS 129,207045303,Cody et al.,,,,,,TT*,F2-F3,J06310363+1001133,11.42,N,97.76512499999998,10.020361111111113
UX Ori,213103713,Cody et al.,,,,,,Ae*,A3-A6,J05042998-0347142,10.01,N,76.12491666666665,-3.7872777777777777
HBC 222,220322651,Cody et al.,,,,,,TT*,F3-F6,J06405118+0944461,11.47,N,100.21325,9.746138888888888
HD 259431,229340364,Cody et al.,,,,,,Ae*,B7,J06330519+1019199,8.31,N,98.27162499999999,10.322194444444444
TY CrA,254045303,Cody et al.,,,,,,Ae*,B8,J19014081-3652337,8.65,N,285.4200416666666,-36.87602777777778
HD 139614,254387071,Cody et al.,,,,,,Or*,A7-A9,J15404638-4229536,8.03,N,235.19324999999995,-42.498222222222225
HD 142527,255191560,Cody et al.,,,,,,Ae*,F2-F3,J15564188-4219232,7.57,N,239.1745,-42.32311111111112
VOS 84,261539498,Cody et al.,,,,,,Y*O,A8,J05081303+4214558,12.85,N,77.05429166666666,42.24883333333334
V346 Ori,264460023,Cody et al.,,,,,,Y*O,A7-A9,J05244279+0143482,9.9,N,81.17829166666667,1.7300555555555557
VOS 2047,265290711,Cody et al.,,,,,,Y*O,B9.5,J02464395+5921168,12.52,N,41.68312499999999,59.35466666666667
LkHa 259,265464119,Cody et al.,,,,,,Ae*,A7-A9,J23584164+6626126,13.02,N,359.67349999999993,66.43683333333334
VOS 200,266773096,Cody et al.,,,,,,Y*O,A0,J04054937+5128348,12.13,N,61.45570833333332,51.476333333333336
MWC 1080,269112596,Cody et al.,,,,,,Ae*,B0,J23172558+6050436,9.8,N,349.3565833333333,60.845444444444446
VOS 42,272142683,Cody et al.,,,,,,Mi*,B,J23422673+6337387,12.21,N,355.61137499999995,63.62741666666667
HD 98922,272956728,Cody et al.,,,,,,Be*,B8-B9,J11223166-5322114,6.65,N,170.63191666666665,-53.36983333333333
VOS 898,272995440,Cody et al.,,,,,,Y*O,A0,J04301623+4852099,12.25,N,67.56762499999998,48.869416666666666
HD 290770,276661825,Cody et al.,,,,,,Or*,B8,J05370245-0137213,9.2,N,84.26020833333332,-1.6225833333333333
HD 100546,280773136,Cody et al.,,,,,,Be*,A0-A1,J11332542-7011412,6.66,N,173.35591666666667,-70.19477777777779
PDS 229N,283096205,Cody et al.,,,,,,**,B7,J06554005-0309506,12.8,Y,103.91687499999999,-3.1640555555555556
VOS 70,284214915,Cody et al.,,,,,,Or*,A7,J00365177+6329300,11.94,N,9.215708333333332,63.49166666666667
GSC 8143-1225,285920558,Cody et al.,,,,,,Or*,F1-F4,J07591156-5022468,12.18,N,119.79816666666665,-50.379666666666665
VOS 588,286322252,Cody et al.,,,,,,Be*,B8,J02590513+6054041,12.37,N,44.77137499999999,60.90113888888889
HD 37258,287757971,Cody et al.,,,,,,Ae*,A0-A1,J05365925-0609164,9.53,N,84.24687499999999,-6.154555555555556
BF Ori,287840183,Cody et al.,,,,,,Ae*,A2-A3,J05371326-0635005,10.07,N,84.30524999999999,-6.5834722222222215
VOS 69,288924907,Cody et al.,,,,,,Or*,A3,J20590591+4805368,12.26,N,314.774625,48.09355555555556
LkHa 324,290064548,Cody et al.,,,,,,Ae*,B7-B8,J21035423+5015101,11.39,N,315.9759583333333,50.252805555555554
Hen 3-1121S,293537745,Cody et al.,,,,,,Ae*,O-B0,J15580967-5351349,10.47,Y,239.54029166666663,-53.85969444444444
V2019 Cyg,297154074,Cody et al.,,,,,,Ae*,B8,J20480478+4347258,10.46,N,312.01991666666663,43.7905
Hen 3-938,299797908,Cody et al.,,,,,,s*b,O,J13524285-6332492,11.36,N,208.17854166666663,-63.547
HD 36408,302824830,Cody et al.,,,,,,Be*,B6-B7,J05321413+1703292,6.08,Y,83.05887499999999,17.058111111111113
HD 96042,305447083,Cody et al.,,,,,,Y*O,B0,J11034056-5925590,8.41,N,165.91899999999998,-59.433055555555555
HD 135344,307606851,Cody et al.,,,,,,Or*,F0-F2,J15154894-3708558,7.71,N,228.95391666666666,-37.148833333333336
GSC 1876-0892,309449806,Cody et al.,,,,,,Or*,B4,J06071539+2957550,12.71,Y,91.81412499999998,29.96527777777778
VOS 32,311826580,Cody et al.,,,,,,LP*,G0,J00385008+5954101,13.82,N,9.708666666666664,59.90280555555555
VOS 250,312493387,Cody et al.,,,,,,Y*O,A3,J20140898+4029502,12.46,N,303.5374166666666,40.49727777777778
